sequence_index,phase,time_s,cluster_id,observed_liquid_share,prior_liquid_share,posterior_liquid_share,observed_sand_share,prior_sand_share,posterior_sand_share,posterior_half_length_m,posterior_cluster_factor,posterior_sand_transport_factor
10,calibration,752.0,0,0.17375818539431842,0.16219911990422783,0.16579917484965892,0.16666666666666666,0.15181229610439842,0.15832397565900783,24.208468168509945,1.0852617415005397,1.0611164264813089
10,calibration,752.0,1,0.16863857443011185,0.16512572403343923,0.16504627984753495,0.16666666666666666,0.1690651729391432,0.16699686662880384,18.634195600904263,0.9737815767595036,1.127423994264288
10,calibration,752.0,2,0.18175086237513713,0.16640421729274843,0.16559109851396528,0.16666666666666666,0.15363447017257836,0.15294963104844506,17.8360848134126,0.9602559672427827,1.0271583207840222
10,calibration,752.0,3,0.1585401859384803,0.17778918396076407,0.17404850819550252,0.16666666666666666,0.20327856800040345,0.19595283244403314,12.292347730224215,0.8821328994298064,1.2151424465127263
10,calibration,752.0,4,0.1683966093251706,0.16482250342330046,0.16511318126453894,0.16666666666666666,0.16523355847377433,0.1677480660559174,18.514233854748944,0.9718354161770814,1.1317613648224991
10,calibration,752.0,5,0.14891558253678164,0.16365925138551998,0.1644017573287994,0.16666666666666666,0.15697593430970228,0.15802862816379282,20.66675358640507,1.011292091400683,1.073577931900372
11,calibration,827.0,0,0.17319647682763054,0.16431020088869397,0.1624185950136576,0.16666666666666666,0.1563078371005788,0.1535214887806368,25.524001582948,1.0882086251660286,1.0612717840450767
11,calibration,827.0,1,0.16807519420494704,0.1650373596765533,0.16483516907826232,0.16666666666666666,0.16666524788638273,0.16723299013185514,19.125124120845957,0.980309808687016,1.1290594077764784
11,calibration,827.0,2,0.18123683358498882,0.16594374918531304,0.16595994753455498,0.16666666666666666,0.15340487565259134,0.15329154843961304,18.112324026528054,0.9662743822543631,1.0237350966567993
11,calibration,827.0,3,0.1588850044001797,0.17522366127637606,0.17830622985579495,0.16666666666666666,0.19875237224313064,0.2028345297857037,11.55494637514299,0.8926703345893338,1.207675081483118
11,calibration,827.0,4,0.16841862286358233,0.16552778990566777,0.16538220927955777,0.16666666666666666,0.16860794636784948,0.16791002442740277,18.59936577405341,0.9730726063572277,1.127636709256702
11,calibration,827.0,5,0.15018786811867155,0.16395723906739584,0.16309784923817233,0.16666666666666666,0.15626172074946693,0.15520941843478858,21.265195140483193,1.013227452527629,1.06579956972743
12,calibration,902.0,0,0.1722286167867323,0.16309313235571585,0.16263863047071467,0.16666666666666666,0.15414204706730059,0.1538594320687535,29.14394924172124,1.0917173736201176,1.0645566041380354
12,calibration,902.0,1,0.16567863360038976,0.16467784841230867,0.16454285008275105,0.16666666666666666,0.1677903279664959,0.16821474231405656,22.017335194127636,0.9839613104815488,1.1424052676614218
12,calibration,902.0,2,0.18034707818263304,0.16643642821791335,0.16702476205452843,0.16666666666666666,0.15435957345369591,0.15418125524768603,19.58445662476742,0.9541694553200577,1.0223150765116715
12,calibration,902.0,3,0.1635446686718726,0.17713281689231583,0.1768799929161142,0.16666666666666666,0.19980138648317297,0.19839841635810634,13.705084983675578,0.8962197650747027,1.200203334365322
12,calibration,902.0,4,0.1680806845752031,0.1652801965424277,0.1656008201056519,0.16666666666666666,0.16851141049359372,0.16815837165239214,20.855342882868076,0.9694266215293216,1.1303712090035245
12,calibration,902.0,5,0.1501203181831692,0.16337957757931862,0.16331294437023983,0.16666666666666666,0.15539525453574093,0.15718778235900543,23.787507802550877,1.0081611163624438,1.0804094646197757
